Tipo,Termo_Original,Traducao
Coluna,job_id,id_vaga
Coluna,company_name,nome_empresa
Coluna,industry,setor
Coluna,job_title,cargo
Coluna,skills_required,habilidades_necessarias
Coluna,experience_level,nivel_experiencia
Coluna,employment_type,tipo_contratacao
Coluna,location,localizacao
Coluna,salary_range_usd,faixa_salarial_usd
Coluna,posted_date,data_postagem
Coluna,company_size,tamanho_empresa
Coluna,tools_preferred,ferramentas_preferenciais
Dado,Foster and Sons,
Dado,"Boyd, Myers and Ramirez",
Dado,King Inc,
Dado,"Cooper, Archer and Lynch",
Dado,Hall LLC,
Dado,Ellis PLC,
Dado,Matthews-Moses,
Dado,Mullins Ltd,
Dado,Aguilar PLC,
Dado,Parks LLC,
Dado,Vaughan-Ortiz,
Dado,"Johnson, Guzman and Hernandez",
Dado,Martin and Sons,
Dado,Frank-Duarte,
Dado,Rogers Ltd,
Dado,Wright-Evans,
Dado,Preston Ltd,
Dado,Smith-Moore,
Dado,Webb and Sons,
Dado,Gates LLC,
Dado,"Whitaker, Walker and Sandoval",
Dado,Humphrey LLC,
Dado,"Adams, Stevenson and Wagner",
Dado,"Thomas, Hurst and Becker",
Dado,Sherman-Nguyen,
Dado,Johnson-Keller,
Dado,Le PLC,
Dado,"Abbott, Nielsen and Young",
Dado,Thomas-Ruiz,
Dado,"Good, Ware and Cruz",
Dado,Gay PLC,
Dado,Kirby-Zuniga,
Dado,"Castillo, Campbell and Robinson",
Dado,Carter LLC,
Dado,Hall Group,
Dado,Huynh PLC,
Dado,"Smith, Haas and Mendez",
Dado,"Briggs, Shaw and Berry",
Dado,Boyd PLC,
Dado,"Sanders, Mejia and Townsend",
Dado,Hernandez Inc,
Dado,"Parrish, White and Grant",
Dado,"Carroll, Lucero and Lambert",
Dado,"Thomas, Waller and Kelly",
Dado,"Franklin, Wright and Berg",
Dado,"Coleman, Gray and Roach",
Dado,Mooney-Decker,
Dado,Wood LLC,
Dado,Copeland Group,
Dado,Richards PLC,
Dado,"Melendez, Williams and Williamson",
Dado,"Ellis, Crane and Boyle",
Dado,Foley-Moore,
Dado,Wright and Sons,
Dado,Williams-Vargas,
Dado,Hill-Huff,
Dado,Meyer PLC,
Dado,Boyd-Carlson,
Dado,Scott-Gardner,
Dado,Jackson Group,
Dado,"Sullivan, Silva and Sawyer",
Dado,"Page, Bonilla and Cohen",
Dado,Young-Wright,
Dado,Patel PLC,
Dado,"Lopez, Nelson and Meyer",
Dado,"Harris, Porter and Walter",
Dado,Dominguez and Sons,
Dado,Griffith-Garner,
Dado,Smith LLC,
Dado,Smith-Jones,
Dado,"Maddox, Steele and Jones",
Dado,Williams PLC,
Dado,"Hurst, Manning and Wood",
Dado,"Howard, Carr and Joseph",
Dado,Lewis-Smith,
Dado,Luna and Sons,
Dado,King-Sheppard,
Dado,Meyer-Shaffer,
Dado,"Ellis, Page and Smith",
Dado,Martinez-Fitzgerald,
Dado,Johnson Inc,
Dado,Camacho PLC,
Dado,Sweeney-Griffith,
Dado,"Stafford, Owens and Thompson",
Dado,"Gonzalez, Watts and Thompson",
Dado,Graham Group,
Dado,Ward-Allen,
Dado,"Garrett, Hernandez and Anderson",
Dado,Long Inc,
Dado,Cummings-Nash,
Dado,"Sawyer, Donovan and Vargas",
Dado,"Stewart, Gutierrez and Simpson",
Dado,Jones-Marshall,
Dado,Murphy-Rosales,
Dado,Solis-Thornton,
Dado,Michael Ltd,
Dado,Alexander and Sons,
Dado,"Travis, Fletcher and Rodriguez",
Dado,Lozano-Hill,
Dado,"Farmer, Leach and Norris",
Dado,Price-Nichols,
Dado,"Gonzalez, Jackson and Williams",
Dado,"Dodson, Palmer and Huber",
Dado,Morris-Sanchez,
Dado,Cobb-Lindsey,
Dado,Ramirez-Goodwin,
Dado,Duran PLC,
Dado,Kaiser Group,
Dado,Garcia PLC,
Dado,Steele-Norman,
Dado,Garcia Ltd,
Dado,Hill LLC,
Dado,"Morales, Thomas and Miller",
Dado,Kelly-Novak,
Dado,Martin-Hernandez,
Dado,Price-Dean,
Dado,Ruiz Inc,
Dado,"Hudson, Burton and Campbell",
Dado,Roberson Inc,
Dado,Gutierrez PLC,
Dado,"King, Chambers and Brown",
Dado,Shannon LLC,
Dado,Thompson-Norris,
Dado,Davis and Sons,
Dado,"Reed, Garcia and French",
Dado,Anderson-Cruz,
Dado,King PLC,
Dado,Baker-Gomez,
Dado,"Patterson, Bruce and Herring",
Dado,Jackson Inc,
Dado,"Thompson, Lewis and Gonzalez",
Dado,Mclean Inc,
Dado,Moore Inc,
Dado,Flores-Dalton,
Dado,Nguyen and Sons,
Dado,Russell Inc,
Dado,Castillo and Sons,
Dado,Price PLC,
Dado,"Payne, Vasquez and Arnold",
Dado,Roth LLC,
Dado,Bryant and Sons,
Dado,"Morris, Williams and Campbell",
Dado,Perez Ltd,
Dado,Smith-Hernandez,
Dado,"Barber, Green and Fernandez",
